PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,3230461110,2628 N 6TH ST,,6,6258,Commercial Exempt,,2,1880,0,1840,1,0,0,0,12750,2002-01,15900
Commercial,3590192000,1363 N PROSPECT AV,,3,6262,Mansions With Commercial Usage,,2,1876,0,6377,1,0,0,0,11840,2002-01,850000
Commercial,4161194000,617 S 94TH ST,,10,6272,Service Building,,1,1954,0,5022,1,0,0,0,9700,2002-01,119000
Commercial,1719836000,3624 W SILVER SPRING DR,,1,6218,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1955,0,6420,1,0,0,0,8792,2002-01,210000
Commercial,3480290000,3830 W LISBON AV,,15,6254,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1909,0,5956,1,0,0,0,4840,2002-01,48500
Commercial,4069983200,320 N 76TH ST,,10,6272,Strip Shopping Center,,1,1954,0,14200,1,0,0,0,16696,2002-01,885000
Commercial,4320050100,1110 W GREENFIELD AV,,12,6277,Strip Shopping Center,,1,1974,0,3750,1,0,0,0,10400,2002-01,186000
Commercial,6259989110,1233 W LAYTON AV,,13,6418,Svs Station w Conv Store,,1,2002,0,2775,1,0,0,0,14400,2002-01,225000
Commercial,4670522000,2000 S 6TH ST,,12,6278,Tavern,,2,1887,0,3818,1,0,0,0,3040,2002-01,100000
Commercial,3211121000,1000 E NORTH AV,,3,6260,Tavern,,2,1890,0,2142,1,0,0,0,2500,2002-01,150000
Residential,3080013000,3033 N 35TH ST,,7,2960,AP 1,Frame,2,1913,0,3476,4,9,1,0,5040,2002-02,42000
Commercial,3860309100,4550 W WISCONSIN AV,,10,6272,Billboard,,0,0,0,0,1,0,0,0,66400,2002-02,600000
Commercial,2520912000,8028 W CAPITOL DR,,5,6226,Day Care Center,,1,1981,0,3545,1,0,0,0,6760,2002-02,190000
Commercial,3140020000,918 E CENTER ST,,3,6260,Duplex Old/Style,,1.5,1905,0,2100,1,0,0,0,7200,2002-02,55000
Commercial,3870209000,3716 W WISCONSIN AV,,15,6270,Office Building - Multi Story ( Ofc & Apt),,3,1929,0,81000,1,0,0,0,30000,2002-02,1752700
Commercial,1029974100,7500 N TEUTONIA AV,,1,6216,Pole Building,,1,1993,0,6360,1,0,0,0,50749,2002-02,315000
Commercial,2930403000,9141 W LISBON AV,,5,6226,Residence With Commercial Usage,,1,1957,0,1410,1,0,0,0,4820,2002-02,105000
Commercial,3461624000,5205 W NORTH AV,,10,6250,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1929,0,4810,1,0,0,0,4800,2002-02,88000
Commercial,4320898000,1101 W NATIONAL AV,,12,6277,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1885,0,4560,1,0,0,0,3500,2002-02,150000
Commercial,2620416000,8412 W LISBON AV,,5,6226,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1953,0,3768,1,0,0,0,4800,2002-02,130000
Commercial,4620635000,541 W HISTORIC MITCHELL ST,,12,6280,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1870,0,2999,1,0,0,0,3375,2002-02,65000
Commercial,1779982110,8946 W SILVER SPRING DR,,2,6212,Strip Shopping Center,,1,1969,0,6170,1,0,0,0,13947,2002-02,235000
Commercial,5829987100,1213 E HOWARD AV,,14,6418,Svs Station w Conv Store,,1,1958,0,1296,1,0,0,0,13539,2002-02,314800
Commercial,1060101000,7240 W GOOD HOPE RD,,9,6206,Used Car Sale,,1,1985,0,2101,1,0,0,0,23052,2002-02,232500
Commercial,4570437000,4101 W GREENFIELD AV,,8,6274,Warehouse Building - 1 Story,,1,1947,0,2500,1,0,0,0,2500,2002-02,84500
Lg Apartment,3590685100,1601 N FARWELL AV,48: 1-Br ,3,6974,Apartment: 48: 1-Br  Units,,3,1964,0,35736,1,0,0,0,19100,2002-03,2000000
Commercial,2670677100,4409 W FOND DU LAC AV,,7,6244,Beer Depot & Liquor Store,,1,1948,0,2560,1,0,0,0,9600,2002-03,115000
Commercial,3661510000,3500 W VLIET ST,,15,6254,Billboard,,0,0,0,0,1,0,0,0,2590,2002-03,48000
Commercial,3590210000,1568 N FARWELL AV,,3,6262,Residence With Commercial Usage,,2,1915,0,5826,1,0,0,0,6075,2002-03,350000
