day,state,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost
1,OK,1,0,9,f,0.0,24,24,0,3.0,9.0,0,0,1,1,0,0,4,543
1,OK,1,0,9,f,0.0,24,24,0,3.0,9.0,2,1,1,3,1,3,2,611
4,PA,1,1,7,f,0.0,74,74,0,2.0,15.0,2,0,2,3,1,2,2,691
4,PA,1,1,7,f,0.0,74,74,0,2.0,15.0,2,0,2,3,1,2,2,695
3,AR,1,0,4,d,4.0,26,26,0,3.0,1.0,1,0,1,1,0,2,2,628
3,AR,1,0,4,d,4.0,26,26,0,3.0,1.0,1,0,2,1,0,2,2,625
3,AR,1,0,4,d,4.0,26,26,0,3.0,1.0,1,0,2,1,0,2,2,628
1,OK,1,0,13,f,3.0,22,22,0,0.0,0.0,0,0,1,1,0,0,2,596
1,OK,1,0,13,f,3.0,22,22,0,0.0,0.0,2,0,1,1,0,3,2,711
1,OK,1,0,13,f,3.0,22,22,0,0.0,0.0,2,0,1,1,0,3,2,722
1,OK,1,0,13,f,3.0,22,22,0,0.0,0.0,2,0,1,1,0,3,2,722
1,OK,1,0,13,f,3.0,22,22,0,1.0,3.0,2,0,1,1,0,3,2,673
1,OK,1,0,13,f,3.0,22,22,0,1.0,3.0,2,0,1,1,0,2,2,683
1,OK,1,0,13,f,3.0,22,22,0,1.0,3.0,2,0,1,1,0,2,4,700
1,OK,1,0,13,f,3.0,22,22,0,1.0,3.0,2,0,1,1,0,2,3,689
1,OK,1,0,13,f,3.0,22,22,0,1.0,3.0,2,0,1,1,1,2,3,692
2,WA,1,0,11,e,0.0,27,27,0,3.0,12.0,0,0,1,1,0,0,1,625
2,WA,1,0,11,e,0.0,27,27,0,3.0,12.0,0,0,1,1,0,0,1,625
0,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,1,0,2,3,0,2,3,578
0,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,1,0,2,3,0,2,2,547
0,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,0,0,1,3,0,0,3,561
0,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,0,0,1,3,0,0,3,561
0,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,1,0,1,3,0,2,3,579
0,FL,1,1,11,e,1.0,75,75,0,1.0,9.0,0,0,1,3,0,2,3,567
2,KY,1,0,7,f,0.0,25,25,0,1.0,1.0,0,1,1,2,0,0,2,627
2,KY,1,0,7,f,0.0,25,25,0,1.0,1.0,0,1,1,2,0,0,2,627
2,KY,1,0,7,f,0.0,25,25,0,1.0,1.0,0,1,1,2,0,0,2,627
2,KY,1,0,7,f,0.0,25,25,0,1.0,1.0,0,1,1,2,0,0,2,627
1,PA,2,1,12,d,0.0,75,75,1,1.0,10.0,1,1,3,3,1,1,1,670
1,PA,2,1,12,d,0.0,75,75,1,1.0,10.0,1,0,1,2,0,1,2,644
6,MO,1,1,11,h,3.0,56,56,0,3.0,2.0,1,0,3,3,0,2,1,580
6,MO,1,1,11,h,3.0,56,56,0,3.0,2.0,1,0,3,3,0,2,2,581
1,FL,1,0,7,d,4.0,22,22,0,3.0,7.0,2,0,1,1,0,3,3,713
1,FL,1,0,7,d,4.0,22,22,0,3.0,7.0,1,0,3,3,1,2,3,738
1,FL,1,0,7,d,4.0,22,22,0,3.0,7.0,1,0,3,3,1,2,3,746
1,FL,1,0,7,d,4.0,22,22,0,3.0,7.0,2,0,2,3,0,3,3,730
4,NY,2,0,1,f,2.0,32,30,0,3.0,2.0,1,1,3,3,1,0,3,735
4,NY,2,0,1,f,2.0,32,30,0,3.0,2.0,1,1,3,3,1,0,2,733
2,WA,1,1,8,h,0.0,46,46,0,2.0,1.0,1,1,3,3,1,1,1,668
