ID,TEXT,SENTIMENT
41166190,Thank you for the update. Has everything gone okay with it? I know it was in for multiple things,NEUTRAL
41166181,"Abby, there is a trim piece on top of the roof rail not attached. Looks like an access cover maybe. ",NEUTRAL
41166178,Hola George ya esta mi auto?,NEUTRAL
41166141,Please just quote me total for blind spot repair.  Thanks.,NEUTRAL
41166131,"Alegra, can they top off the transmission fluid level for me, since it was slightly low? Also, how much is an oil change?",NEUTRAL
41166112,I just sent all the receipts over. Please let me know that you got them. I did not include the most recent one which was in January for an oil change that I did. I cannot find that receipt but I may be able to find it on my credit card.,NEUTRAL
41166096,"Please send quotes as soon as you can, so I can approve or not approve the recommended items. Thanks.",NEUTRAL
10000003,I don't have the funds today for that. Can it be scheduled?,NEUTRAL
10000004,"Yes please oil change and tire rotation if you can fit it in today, if not I'll bring it back another time",NEUTRAL
10000005,"136 deer trail drive
Springboro 

What time ",NEUTRAL
41166056,We should be able to. Did you possibly find something,NEUTRAL
41783673,Ok,NEUTRAL
41166037,Do you know how much longer until the car is ready for pickup?,NEUTRAL
10000007,"hi lakisha,
my wife said NO for the services for now, she will bring back the later for other service/s need to be done.",NEUTRAL
41166025,Thank you! I will be out of the country until next week and will pick up the car then!,NEUTRAL
41166014,How much is the tire sensor to be replaced?,NEUTRAL
41166017,And do I have to pay for all that today??,NEUTRAL
41166011,Wiper blades on both sides and regular service only . Thanks,NEUTRAL
10000009,"Oh my goodness this car is the gift that keeps on giving  but I really can't even complain because it's only been in the shop one other time outside of basic maintenance and I've had it for almost 10 years lol - yeah that's fine, maybe then my car will stop lying to me and telling me I have low air pressure when I don't. ",NEUTRAL
41165980,Sorry busy morning,NEUTRAL
41165963,Tires will be for next time...,NEUTRAL
41165962,Earliest today if possible,NEUTRAL
41165918,Good Morning! What is the update on the Lincoln?,NEUTRAL
41165901,We can do the fire rotation for now,NEUTRAL
41165881,Thank you. Be there shortly. Thank you!,NEUTRAL
10000012,can you try and source one from hibby's?,NEUTRAL
41165869,"This is a company car, gets billed to company",NEUTRAL
41506602,One,NEUTRAL
41165812,Yes I have some feeeback is this text enabled?,NEUTRAL
10000016,Did you also have a chance to look at the air conditioning? It doesn't seem to get as cold.,NEUTRAL
10000017,No not at this time as I said yesterday I'm headed for a trip to Virginia Beach today. Please give me a call or text when my vehicle is ready for pick up. Thanks,NEUTRAL
41075330,9:00 AM,NEUTRAL
41781615,Will do,NEUTRAL
41783558,Okay,NEUTRAL
10000020,This is great. Do you have an estimate on when it'll be finished?,NEUTRAL
41778209,"Okay, thanks",NEUTRAL
41165711,I think $5500 . Set up for auto cross,NEUTRAL
41165701,Do I get a text when my car is done?,NEUTRAL
10000022,"Do you think the rust on the rotors is the cause of the scrap/squeak?

Can the rotors be machined instead of replaced?

4mm and 6mm on pads is not bad. I usually replace at 2mm.",NEUTRAL
41165691,Was that you who just tried to call? Sorry I missed it if you want to call again,NEUTRAL
10000023,No I'm stretched on credit since I purchased my home in October.,NEUTRAL
41165652,Fuel pump and oil change,NEUTRAL
10000024,Yea ma'am,NEUTRAL
41165647,Good morning can you please  give me  call?,NEUTRAL
41762257,Ok thank u,NEUTRAL
