loan_status,annual_inc,verification_status,emp_length,home_ownership,int_rate,loan_amnt,purpose,term,grade
Fully Paid,24000,Verified,10+ years,RENT,10.65,5000,credit_card, 36 months,B
Charged Off,30000,Source Verified,< 1 year,RENT,15.27,2500,car, 60 months,C
Fully Paid,12252,Not Verified,10+ years,RENT,15.96,2400,small_business, 36 months,C
Fully Paid,49200,Source Verified,10+ years,RENT,13.49,10000,other, 36 months,C
Fully Paid,80000,Source Verified,1 year,RENT,12.69,3000,other, 60 months,B
Fully Paid,36000,Source Verified,3 years,RENT,7.90,5000,wedding, 36 months,A
Fully Paid,47004,Not Verified,8 years,RENT,15.96,7000,debt_consolidation, 60 months,C
Fully Paid,48000,Source Verified,9 years,RENT,18.64,3000,car, 36 months,E
Charged Off,40000,Source Verified,4 years,OWN,21.28,5600,small_business, 60 months,F
Charged Off,15000,Verified,< 1 year,RENT,12.69,5375,other, 60 months,B
Fully Paid,72000,Not Verified,5 years,OWN,14.65,6500,debt_consolidation, 60 months,C
Fully Paid,75000,Source Verified,10+ years,OWN,12.69,12000,debt_consolidation, 36 months,B
Charged Off,30000,Source Verified,< 1 year,RENT,13.49,9000,debt_consolidation, 36 months,C
Fully Paid,15000,Source Verified,3 years,RENT,9.91,3000,credit_card, 36 months,B
Charged Off,1.00E+05,Source Verified,3 years,RENT,10.65,10000,other, 36 months,B
Fully Paid,28000,Not Verified,< 1 year,RENT,16.29,1000,debt_consolidation, 36 months,D
Fully Paid,42000,Not Verified,4 years,RENT,15.27,10000,home_improvement, 36 months,C
Fully Paid,110000,Not Verified,10+ years,MORTGAGE,6.03,3600,major_purchase, 36 months,A
Fully Paid,84000,Verified,1 year,MORTGAGE,11.71,6000,medical, 36 months,B
Fully Paid,77385.19,Not Verified,6 years,RENT,6.03,9200,debt_consolidation, 36 months,A
Fully Paid,43370,Verified,3 years,RENT,15.27,20250,debt_consolidation, 60 months,C
Charged Off,105000,Verified,10+ years,RENT,12.42,21000,debt_consolidation, 36 months,B
Fully Paid,50000,Source Verified,10+ years,OWN,11.71,10000,credit_card, 36 months,B
Fully Paid,50000,Not Verified,5 years,RENT,11.71,10000,debt_consolidation, 36 months,B
Charged Off,76000,Not Verified,1 year,RENT,11.71,6000,major_purchase, 36 months,B
Fully Paid,92000,Verified,2 years,MORTGAGE,9.91,15000,credit_card, 36 months,B
Charged Off,60000,Not Verified,9 years,RENT,14.27,15000,debt_consolidation, 36 months,C
Charged Off,50004,Not Verified,2 years,RENT,16.77,5000,other, 60 months,D
Fully Paid,106000,Not Verified,10+ years,MORTGAGE,11.71,4000,debt_consolidation, 36 months,B
Fully Paid,25000,Source Verified,< 1 year,RENT,11.71,8500,credit_card, 36 months,B
Fully Paid,17108,Source Verified,7 years,MORTGAGE,7.51,4375,debt_consolidation, 36 months,A
Fully Paid,75000,Verified,5 years,MORTGAGE,7.90,31825,debt_consolidation, 36 months,A
Fully Paid,29120,Verified,2 years,RENT,15.96,10000,debt_consolidation, 60 months,C
Fully Paid,24044,Verified,2 years,RENT,8.90,5000,debt_consolidation, 36 months,A
Fully Paid,34000,Source Verified,7 years,RENT,15.96,7000,credit_card, 36 months,C
