#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
4,Charmander,Fire,,39,52,43,60,50,65,1,False,309
5,Charmeleon,Fire,,58,64,58,80,65,80,1,False,405
6,Charizard,Fire,Flying,78,84,78,109,85,100,1,False,534
6,CharizardMega Charizard X,Fire,Dragon,78,130,111,130,85,100,1,False,634
6,CharizardMega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,False,634
37,Vulpix,Fire,,38,41,40,50,65,65,1,False,299
38,Ninetales,Fire,,73,76,75,81,100,100,1,False,505
58,Growlithe,Fire,,55,70,45,70,50,60,1,False,350
59,Arcanine,Fire,,90,110,80,100,80,95,1,False,555
77,Ponyta,Fire,,50,85,55,65,65,90,1,False,410
78,Rapidash,Fire,,65,100,70,80,80,105,1,False,500
126,Magmar,Fire,,65,95,57,100,85,93,1,False,495
136,Flareon,Fire,,65,130,60,95,110,65,1,False,525
146,Moltres,Fire,Flying,90,100,90,125,85,90,1,True,580
155,Cyndaquil,Fire,,39,52,43,60,50,65,2,False,309
156,Quilava,Fire,,58,64,58,80,65,80,2,False,405
157,Typhlosion,Fire,,78,84,78,109,85,100,2,False,534
218,Slugma,Fire,,40,40,40,70,40,20,2,False,250
219,Magcargo,Fire,Rock,50,50,120,80,80,30,2,False,410
240,Magby,Fire,,45,75,37,70,55,83,2,False,365
244,Entei,Fire,,115,115,85,90,75,100,2,True,580
250,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,True,680
255,Torchic,Fire,,45,60,40,70,50,45,3,False,310
256,Combusken,Fire,Fighting,60,85,60,85,60,55,3,False,405
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,3,False,530
257,BlazikenMega Blaziken,Fire,Fighting,80,160,80,130,80,100,3,False,630
322,Numel,Fire,Ground,60,60,40,65,45,35,3,False,305
323,Camerupt,Fire,Ground,70,100,70,105,75,40,3,False,460
323,CameruptMega Camerupt,Fire,Ground,70,120,100,145,105,20,3,False,560
324,Torkoal,Fire,,70,85,140,85,70,20,3,False,470
390,Chimchar,Fire,,44,58,44,58,44,61,4,False,309
391,Monferno,Fire,Fighting,64,78,52,78,52,81,4,False,405
392,Infernape,Fire,Fighting,76,104,71,104,71,108,4,False,534
467,Magmortar,Fire,,75,95,67,125,95,83,4,False,540
485,Heatran,Fire,Steel,91,90,106,130,106,77,4,True,600
498,Tepig,Fire,,65,63,45,45,45,45,5,False,308
499,Pignite,Fire,Fighting,90,93,55,70,55,55,5,False,418
500,Emboar,Fire,Fighting,110,123,65,100,65,65,5,False,528
513,Pansear,Fire,,50,53,48,53,48,64,5,False,316
514,Simisear,Fire,,75,98,63,98,63,101,5,False,498
554,Darumaka,Fire,,70,90,45,15,45,50,5,False,315
555,DarmanitanStandard Mode,Fire,,105,140,55,30,55,95,5,False,480
555,DarmanitanZen Mode,Fire,Psychic,105,30,105,140,105,55,5,False,540
631,Heatmor,Fire,,85,97,66,105,66,65,5,False,484
653,Fennekin,Fire,,40,45,40,62,60,60,6,False,307
654,Braixen,Fire,,59,59,58,90,70,73,6,False,409
655,Delphox,Fire,Psychic,75,69,72,114,100,104,6,False,534
662,Fletchinder,Fire,Flying,62,73,55,56,52,84,6,False,382
663,Talonflame,Fire,Flying,78,81,71,74,69,126,6,False,499
667,Litleo,Fire,Normal,62,50,58,73,54,72,6,False,369
668,Pyroar,Fire,Normal,86,68,72,109,66,106,6,False,507
721,Volcanion,Fire,Water,80,110,120,130,90,70,6,True,600
