annual_inc,application_type,avg_cur_bal,chargeoff_within_12_mths,delinq_2yrs,dti,emp_length,grade,inq_last_12m,installment,loan_amnt,num_actv_bc_tl,pub_rec_bankruptcies,home_ownership,term,mort_acc,num_tl_90g_dpd_24m,purpose,year,loan_default,job
80000.0,Individual,6746.0,0.0,0.0,15.12,10,B,1.0,743.75,22800,1.0,0.0,OWN,36,0.0,0.0,debt_consolidation,2016,1,principal
60000.0,Individual,13623.0,0.0,0.0,12.32,7,D,0.0,286.73,10500,3.0,0.0,MORTGAGE,60,1.0,0.0,credit_card,2017,0,other
78000.0,Individual,11011.0,0.0,0.0,25.0,1,D,6.0,869.66,35000,4.0,0.0,MORTGAGE,60,3.0,0.0,debt_consolidation,2015,0,analyst
62000.0,Individual,9679.0,0.0,0.0,22.32,9,D,7.0,713.96,20000,2.0,0.0,RENT,36,4.0,0.0,debt_consolidation,2017,1,other
49000.0,Individual,4925.0,0.0,0.0,32.43,10,D,0.0,366.51,10000,4.0,0.0,RENT,36,0.0,0.0,debt_consolidation,2017,1,driver
100000.0,Individual,3795.0,0.0,0.0,26.88,6,B,3.0,445.12,13500,9.0,0.0,RENT,36,0.0,0.0,credit_card,2017,0,engineer
28000.0,Individual,2105.0,0.0,0.0,34.8,3,C,1.0,240.92,7000,2.0,1.0,RENT,36,2.0,0.0,credit_card,2016,0,other
78400.0,Individual,15836.0,0.0,0.0,7.02,10,B,0.0,429.78,20000,5.0,0.0,MORTGAGE,60,1.0,0.0,credit_card,2016,0,laborer
125000.0,Individual,42488.0,0.0,0.0,10.39,4,A,4.0,485.38,24000,2.0,0.0,MORTGAGE,60,4.0,0.0,debt_consolidation,2016,0,director
30000.0,Individual,7940.0,0.0,0.0,20.44,5,C,0.0,374.66,10800,2.0,1.0,MORTGAGE,36,1.0,0.0,home_improvement,2017,1,manager
58000.0,Individual,1501.0,0.0,0.0,14.81,5,C,1.0,734.48,21350,3.0,1.0,RENT,36,0.0,0.0,credit_card,2016,0,manager
