max_severity,ave_severity,sentence_time,sentence_served,repeat_offender,substance_use,support,education
1,1,22.3917376,16.07685451,1,1,1,2
1,1,25.11406742,12.95562427,0,0,1,3
2,1.666666667,70.66299737,62.58856226,0,1,1,4
4,1.6,189.802303,16.4534054,1,1,0,3
1,1,8.483269805,5.338245521,0,0,1,2
1,1,16.18287443,17.75604129,0,0,0,1
4,1.5,134.3272611,15.896873,1,1,1,3
3,2,137.8491256,112.0443207,0,0,0,2
2,1.333333333,43.2374296,12.96202279,0,0,1,2
1,1,6.961406266,2.803189376,0,1,0,1
1,1,16.02077011,8.006072951,0,1,1,2
2,2,15.42783625,5.622601704,1,0,1,1
5,2.5,65.4648252,10.84815643,0,0,0,3
2,1.5,23.31114679,13.21625699,0,0,0,1
4,1.75,95.89146284,58.37399204,1,0,1,2
2,1.333333333,45.04243297,35.10645364,1,0,1,4
2,1.25,97.55085082,40.49959852,1,1,1,2
2,1.125,70.25567268,65.30478445,0,0,0,2
1,1,17.86796979,8.39400928,0,0,1,1
2,1.25,43.65447603,32.02426789,0,1,0,2
3,1.833333333,216.9360517,43.12682457,0,0,1,2
1,1,10.96229501,11.97807957,0,0,0,1
1,1,25.91726817,22.2503918,1,0,0,2
4,4,24.40252012,9.684397297,0,0,0,2
2,1.5,29.46637392,21.76703244,1,0,1,1
1,1,11.84459762,9.395046321,0,1,1,1
1,1,12.03525747,1.020054592,0,0,1,2
2,1.5,33.02450897,34.68694254,1,0,0,1
4,1.8,255.4462484,153.2345069,1,0,1,1
1,1,25.58320748,28.11038354,0,1,1,2
1,1,28.85358459,9.39639539,0,0,1,1
2,1.333333333,48.32684049,22.50680256,0,1,0,2
1,1,33.62092326,2.379035655,1,0,1,1
1,1,7.143603656,1.856592028,1,0,1,1
1,1,62.3376584,65.68734394,0,1,0,1
4,2.75,103.400824,68.40904039,0,1,1,1
1,1,7.243436024,5.322704243,0,0,0,2
5,2.25,175.6653177,183.477575,1,1,1,1
2,1.5,23.29513442,14.20449865,1,1,1,1
3,1.8,162.1580262,151.3559198,1,1,1,2
3,1.666666667,30.01799357,13.65823025,1,0,0,1
2,1.25,94.70383115,72.48654814,1,1,1,2
2,1.333333333,56.82056035,58.73779856,0,0,0,1
3,2,48.25807625,17.52308172,0,1,1,2
4,2,83.63442323,74.13532345,0,0,1,1
1,1,6.562182008,3.204088219,0,0,1,2
4,2.666666667,64.66126576,56.54515141,1,0,0,2
2,1.75,35.50298046,25.35716162,1,0,1,2
3,1.5,73.87727411,52.61431427,0,1,1,1
1,1,15.88167244,2.996288646,0,1,1,1
2,1.2,40.05031645,31.07024246,0,0,1,1
1,1,26.0914619,21.63484942,0,0,1,1
4,2.5,29.27427655,5.043234396,0,0,1,1
2,2,17.972463,5.052498995,1,0,0,1
1,1,4.353382809,1.206967305,0,0,1,1
2,1.5,51.6912151,35.35186739,0,0,1,1
4,2,60.29253608,43.54541358,0,0,1,1
2,1.25,86.89813693,81.17164762,1,0,1,1
1,1,19.29624347,18.09118966,0,1,0,1
3,2.2,121.1355428,99.44314703,0,0,1,1
1,1,6.78877781,6.27131508,0,0,1,1
1,1,24.46538772,12.29047688,0,1,0,2
1,1,15.98481005,0.853331103,0,1,0,2
2,1.5,79.06403714,45.9750094,1,0,1,1
4,2.5,28.87517359,11.12923387,0,0,0,1
1,1,29.9936375,9.855647926,0,0,1,1
1,1,39.18891326,42.88777016,0,0,0,4
1,1,12.95897796,11.93270568,0,0,0,1
2,1.4,89.83900775,42.94109719,0,0,1,1
4,3,50.95179009,48.66271038,1,1,1,1
3,2,55.8527175,52.25437451,1,0,1,2
4,2.333333333,95.34639534,41.36312866,1,0,1,3
1,1,64.71347697,12.35285994,1,1,1,1
2,1.6,78.43647827,70.1350472,0,0,1,1
1,1,6.635084807,4.452308235,1,0,1,1
1,1,36.85216824,35.40023378,0,0,1,3
2,1.166666667,92.82200524,51.15511362,0,0,0,3
2,1.333333333,31.56452253,30.82566843,0,0,0,1
4,2.25,198.5855921,195.128288,1,0,1,1
1,1,22.88343263,24.00219194,0,0,0,1
1,1,9.079058184,0.560919098,1,1,0,2
5,2,201.8389397,118.0152904,1,0,0,4
1,1,12.29805438,1.574660534,0,0,1,2
1,1,28.23906794,29.37548995,0,0,1,1
1,1,5.712004677,1.322860421,1,1,1,2
4,3.5,97.06377777,102.4264501,1,0,1,2
1,1,8.469423342,0.785432501,1,0,0,1
1,1,8.605334897,6.208378499,0,1,0,1
1,1,32.06883254,15.52151972,1,0,0,1
2,1.4,101.2954546,26.75948768,1,1,1,2
1,1,49.60649811,6.586952586,0,1,0,1
4,2.333333333,54.80566808,15.18227603,0,1,1,2
1,1,8.912879773,3.474829312,0,0,1,3
5,2.25,196.5918397,101.9918577,0,1,0,2
1,1,15.81288852,2.781123322,0,0,1,1
2,1.5,25.15162678,8.680949068,0,1,0,2
1,1,19.43807863,4.510075491,0,0,1,2
2,1.25,119.8071802,66.98721483,0,0,0,2
4,2.333333333,140.0546662,86.73515354,1,1,0,1
3,2.5,51.31756282,18.85464843,1,0,1,3
1,1,5.681622313,5.121061451,0,1,1,4
2,1.333333333,74.03526812,32.27001769,1,1,1,1
1,1,36.79317957,32.78552612,0,0,1,2
2,1.333333333,37.99055141,22.11169408,0,0,0,2
2,1.428571429,89.86884247,67.59554019,0,1,0,3
5,2.5,186.4162213,100.9192648,0,0,1,4
3,2.5,76.94439107,14.73288566,0,0,1,1
2,1.333333333,39.63413508,13.30963235,1,0,0,1
2,2,19.44896703,8.274429793,1,0,1,2
2,1.25,83.87719784,8.170873077,1,0,1,1
1,1,10.32377673,4.778052904,0,0,1,1
3,2,81.85441686,9.834239653,0,1,1,1
4,2.333333333,104.4783223,21.58413721,0,1,1,4
1,1,28.76333552,14.25802312,0,1,1,2
1,1,6.555406179,4.877983842,0,0,0,1
1,1,30.0015024,3.323498161,0,0,0,2
1,1,37.95574898,38.32117392,0,0,1,1
1,1,16.35068475,5.850337843,0,0,0,1
2,1.5,20.61319715,2.335962808,0,1,1,2
2,1.5,38.33253554,5.182932543,0,0,1,2
1,1,23.30868401,9.758556855,0,0,0,4
1,1,11.74945928,12.34380322,1,0,1,2
1,1,8.852787094,1.402699412,1,0,0,1
1,1,6.96854437,4.529777946,1,0,0,1
4,2,48.32814541,19.24780904,1,1,1,1
3,1.333333333,182.2550571,91.31001594,1,1,1,4
2,1.333333333,57.85408097,27.94838049,0,0,1,1
2,1.333333333,52.95613857,20.90584296,1,1,1,2
4,2.333333333,99.91892071,99.90348381,1,0,0,1
2,1.285714286,121.4538976,122.3280186,0,1,1,2
1,1,34.00767723,24.63241758,1,0,1,1
4,1.75,52.43718401,23.40777577,0,0,1,2
2,1.333333333,42.65604294,45.69188961,0,1,1,1
2,1.5,31.22963982,14.51262788,0,0,1,2
4,3,56.08146981,14.94694341,1,0,1,3
