max_severity,ave_severity,sentence_time,sentence_served,repeat_offender,substance_use,support,education,reoffend
1,1,15.28117189,4.032278636,0,0,1,1,1
1,1,19.81601932,1.625925882,0,0,0,1,0
2,1.333333333,59.293718,38.97804127,0,1,1,1,1
2,1.333333333,72.02636092,25.08274496,1,0,0,4,0
1,1,10.61847745,9.412762152,0,0,0,4,0
1,1,8.526858923,5.647969108,1,1,1,1,0
1,1,19.97748014,14.79838241,0,0,1,3,1
1,1,5.295902196,3.467049071,1,0,1,4,1
4,1.666666667,298.7010968,140.8762248,0,0,1,2,0
1,1,17.94698027,2.773393491,0,1,0,2,0
2,1.4,124.1258446,31.67218161,1,1,0,1,0
2,1.142857143,79.79924361,37.45805108,0,1,1,2,0
1,1,10.90298205,11.37079216,0,1,1,1,1
1,1,23.72681588,7.19023689,0,0,1,1,0
1,1,18.80950888,19.31601227,0,0,1,2,1
1,1,38.57286791,5.651393067,0,0,1,1,0
2,1.2,80.61291691,4.339536956,1,0,0,1,0
2,1.2,93.5749352,7.388788144,1,1,1,2,0
2,1.333333333,100.9816242,71.09743075,0,0,0,1,0
1,1,19.90760317,4.259911803,0,0,0,1,0
1,1,14.20504669,13.8527954,0,0,0,2,0
1,1,12.54656033,3.142384626,0,0,1,1,1
1,1,17.40640391,9.767414974,0,1,1,4,1
2,1.333333333,34.96884996,30.82304549,0,0,1,1,1
3,1.5,83.50016569,11.95070648,0,0,1,2,0
3,1.8,146.7268276,81.90819368,1,0,0,2,0
1,1,17.34831706,10.83460758,0,1,1,2,0
2,2,25.9342075,20.63864502,1,1,1,3,1
2,1.25,88.15493585,56.5695137,0,0,1,1,0
1,1,14.30932173,11.35907136,1,0,0,2,1
1,1,8.017622477,4.35293452,1,1,1,4,1
1,1,36.21394328,2.034603507,1,0,1,1,0
1,1,6.079967542,2.26894686,0,0,1,2,1
2,1.333333333,68.2786882,50.787652,1,0,0,2,1
1,1,8.812201802,1.327311485,0,0,1,1,0
2,1.5,32.45827817,5.119242447,1,0,1,1,1
2,1.5,45.7258767,23.76968112,0,1,1,2,0
2,1.25,72.53462554,8.176967121,0,1,1,1,0
2,1.2,123.7158933,38.4266874,1,0,1,4,0
2,1.6,114.3644241,42.44848207,0,0,1,1,0
2,1.25,88.69183659,54.09587247,0,0,0,1,0
1,1,20.93883095,1.32620218,0,0,0,1,0
1,1,8.773385671,8.659763525,0,0,0,1,1
2,1.142857143,182.1592537,46.75066558,1,0,0,3,0
1,1,12.91907018,4.958178627,0,1,0,1,1
2,1.333333333,56.26278099,47.14260751,0,0,0,1,0
2,1.5,42.47313128,22.03278749,0,0,1,1,1
1,1,41.46842904,31.62486371,0,0,1,1,1
1,1,38.99350831,24.10172171,0,0,1,2,0
1,1,32.67478735,32.19126389,0,0,0,2,1
2,1.666666667,28.56389183,3.18396979,0,0,1,1,1
1,1,12.74861107,10.71389495,0,1,1,1,0
1,1,37.23395378,26.50461418,1,0,1,2,1
1,1,10.35423452,0.816797605,0,1,1,2,1
1,1,15.81361241,16.7256264,0,0,0,2,1
3,1.5,294.0095818,254.8718805,1,0,1,3,1
2,1.333333333,135.6189258,15.91641387,0,0,1,1,0
1,1,8.75959343,7.974315982,1,0,0,1,1
4,1.833333333,213.9945651,21.45261303,1,1,1,1,0
1,1,10.13005021,1.821589743,0,1,0,2,0
1,1,32.19479637,20.56005213,0,1,1,2,1
1,1,35.20722537,6.701661739,0,1,1,2,0
2,1.2,102.1518267,63.38316481,1,1,1,1,0
1,1,8.986247218,6.716123511,0,0,0,1,1
1,1,11.79965745,4.407224558,0,1,0,1,0
1,1,37.8405912,23.19922895,1,1,1,1,1
1,1,9.468426002,8.589409879,1,1,1,1,0
3,2,62.00904734,4.981428397,1,0,1,1,1
2,1.5,52.79936279,8.74871473,1,0,0,2,0
2,1.333333333,54.06979471,46.81623058,1,0,0,1,1
1,1,29.50252374,18.53320563,0,1,1,1,1
1,1,11.20455455,0.567056793,1,0,1,2,0
3,1.75,82.18475196,70.31468208,1,0,1,1,1
2,1.5,50.93963028,3.791888993,1,0,0,2,0
1,1,12.55697405,1.952006705,0,0,1,3,1
1,1,16.3536271,6.245192503,0,0,0,2,1
2,2,21.8648601,2.507412073,0,0,1,3,1
1,1,12.48649559,9.437769948,0,0,1,1,1
2,1.333333333,62.64741324,60.27527534,0,0,0,4,1
1,1,21.33442261,8.860051587,0,0,0,4,1
1,1,32.3049038,21.73643667,0,1,0,4,0
1,1,12.16782156,6.950420505,1,0,0,3,1
1,1,6.180291495,1.324008092,1,0,1,4,1
1,1,45.05078953,3.146243186,0,0,1,1,0
1,1,39.51055292,16.47963062,0,0,1,1,0
1,1,10.41380922,4.845272524,0,0,0,2,0
4,1.833333333,215.9456202,34.38333538,1,1,1,1,0
1,1,29.71335678,9.297854246,0,0,0,2,0
2,1.333333333,33.29892897,30.95822266,0,1,1,1,1
2,1.333333333,38.75671168,7.707278915,0,1,1,1,0
2,1.222222222,150.0932148,10.38696411,0,1,0,1,0
1,1,11.68489324,3.401866947,0,0,0,2,0
2,1.5,91.24050684,50.76902382,0,1,0,2,0
1,1,20.22987442,9.345497015,1,1,1,3,1
1,1,35.89346615,28.8494923,0,1,1,2,1
2,1.25,55.01469578,47.75291506,0,0,0,2,0
1,1,12.02662933,3.089023352,0,0,1,1,1
2,1.166666667,46.84286867,7.373909512,0,0,1,2,0
1,1,28.00818255,9.318966475,0,0,0,3,0
1,1,12.46686914,1.297355932,1,0,1,3,0
1,1,6.214572574,4.118244066,0,0,1,4,0
1,1,19.23430791,7.739249427,0,0,1,3,0
3,1.75,256.3131183,117.341618,1,0,1,2,0
2,1.333333333,25.77383117,15.90575246,0,0,0,1,1
1,1,42.72506608,7.605985635,1,1,0,2,0
2,1.666666667,54.5410011,31.92279083,1,0,1,1,1
2,1.333333333,72.62366914,49.08688348,1,0,0,1,1
4,1.833333333,279.6653234,32.17814891,1,0,1,1,0
1,1,67.6724125,69.11326943,1,1,1,1,1
2,1.666666667,74.48426358,30.69432164,0,0,1,2,0
2,1.333333333,25.02565943,23.72002516,0,0,0,3,1
1,1,14.73382962,6.529441086,0,1,1,1,0
3,1.8,111.7606259,21.45002671,1,0,1,2,0
2,1.4,104.9607541,31.20728886,1,0,0,1,0
3,1.5,98.10405534,40.12864724,0,0,0,4,0
1,1,12.38341474,6.716985389,0,1,1,2,0
1,1,23.08947098,16.38118261,0,1,1,2,1
2,1.25,104.8870118,18.0955423,0,1,0,4,0
1,1,3.462918598,1.302842196,0,0,0,1,1
2,1.333333333,75.01612672,3.785397369,1,0,1,3,0
