price,lotSize,age,landValue,livingArea,pctCollege,bedrooms,fireplaces,bathrooms,rooms,heating,fuel,sewer,waterfront,newConstruction,centralAir
0.1325,0.09,42,50000,906,35,2,1,1,5,electric,electric,septic,No,No,No
0.181115,0.92,0,22300,1953,51,3,0,2.5,6,hot water/steam,gas,septic,No,No,No
0.109,0.19,133,7300,1944,51,4,1,1,8,hot water/steam,gas,public/commercial,No,No,No
0.155,0.41,13,18700,1944,51,3,1,1.5,5,hot air,gas,septic,No,No,No
0.08606,0.11,0,15000,840,51,2,0,1,3,hot air,gas,public/commercial,No,Yes,Yes
0.12,0.68,31,14000,1152,22,4,1,1,8,hot air,gas,septic,No,No,No
0.153,0.4,33,23300,2752,51,4,1,1.5,8,hot water/steam,oil,septic,No,No,No
0.17,1.21,23,14600,1662,35,4,1,1.5,9,hot air,oil,septic,No,No,No
0.09,0.83,36,22200,1632,51,3,0,1.5,8,electric,electric,septic,No,No,No
0.1229,1.94,4,21200,1416,44,3,0,1.5,6,hot air,gas,none,No,No,No
0.325,2.29,123,12600,2894,51,7,0,1,12,hot air,oil,septic,No,No,No
0.12,0.92,1,22300,1624,51,3,0,2,6,hot air,gas,septic,No,No,No
0.08586,8.97,13,4800,704,41,2,0,1,4,electric,electric,septic,No,No,No
0.097,0.11,153,3100,1383,57,3,0,2,5,hot water/steam,gas,public/commercial,No,No,No
0.127,0.14,9,300,1300,41,3,0,1.5,8,hot air,oil,septic,No,No,No
0.0899,0,88,2500,936,57,3,0,1,4,hot water/steam,gas,public/commercial,No,No,No
0.155,0.13,9,300,1300,41,3,0,1.5,7,hot air,oil,septic,No,No,No
0.25375,2,0,49800,2816,71,4,1,2.5,12,hot air,gas,none,No,No,Yes
0.06,0.21,82,8500,924,35,2,0,1,6,hot water/steam,oil,septic,No,No,No
0.0875,0.88,17,19400,1092,35,3,0,1,6,hot air,oil,septic,No,No,No
0.112,1,12,8600,1056,35,3,0,1,7,electric,electric,septic,No,No,No
0.1049,0.43,21,5600,1600,39,3,0,1.5,4,electric,electric,public/commercial,No,No,No
0.148635,0.32,1,6200,1576,39,3,0,2.5,7,hot air,gas,septic,No,Yes,Yes
0.15,0.03,24,5100,2080,39,3,0,2,6,hot air,oil,septic,No,No,No
0.0904,0.36,16,5200,1600,39,3,0,1.5,4,electric,electric,public/commercial,No,No,No
0.2488,4,28,5500,2224,39,4,0,3,10,hot air,oil,septic,No,No,No
0.135,1.83,126,6000,1656,39,3,0,1,6,hot water/steam,oil,septic,No,No,No
0.145,3,26,4500,1170,39,4,0,1.5,5,hot air,oil,septic,No,No,No
0.457,0.43,53,2700,2461,39,4,1,2,10,hot air,oil,public/commercial,Yes,No,No
0.14,0.44,56,19400,1544,71,3,1,1.5,7,hot air,oil,septic,No,No,Yes
0.13,1.24,51,24800,1220,71,2,2,1,4,hot water/steam,oil,septic,No,No,No
0.187,0.46,3,15200,1858,52,3,1,2.5,7,hot air,gas,septic,No,No,No
0.229,0.87,9,41100,2219,64,3,1,2,8,hot air,gas,public/commercial,No,No,No
0.227,1.8,201,25500,1876,52,3,0,2.5,5,hot air,oil,septic,No,No,No
0.1799,0.46,1,15200,2026,52,4,1,2.5,6,hot air,gas,septic,No,No,No
0.1699,0.91,19,20200,1671,71,4,1,3,8,hot air,gas,septic,No,No,Yes
0.2099,0.46,1,15200,2060,52,4,1,2.5,7,hot air,gas,none,No,No,No
0.1699,0.59,0,17300,1884,52,4,1,2.5,9,hot air,gas,septic,No,No,No
0.293,7.24,43,36600,2022,71,4,2,3,6,hot water/steam,gas,septic,No,No,No
0.2459,0.19,0,20700,2394,71,4,1,2.5,7,hot air,gas,none,No,No,Yes
0.157,0.46,45,20200,1390,71,3,1,1.5,6,hot air,gas,septic,No,No,No
0.195,0.41,32,27100,1954,71,4,0,2.5,8,hot air,gas,septic,No,No,Yes
0.15,0.78,54,24500,1554,71,3,1,1.5,5,hot air,oil,septic,No,No,Yes
0.2349,0.89,9,41600,1976,64,3,0,2.5,6,hot air,gas,public/commercial,No,No,Yes
